#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

ellos [protestar]";"ellos protestaron"
"Indicativo
Pretérito

ellas [protestar]";"ellas protestaron"
"Indicativo
Pretérito

Ustedes [protestar]";"Ustedes protestaron"
"Indicativo
Pretérito

yo [provocar]";"yo provoqué"
"Indicativo
Pretérito

tú [provocar]";"tú provocaste"
"Indicativo
Pretérito

él [provocar]";"él provocó"
"Indicativo
Pretérito

ella [provocar]";"ella provocó"
"Indicativo
Pretérito

Usted [provocar]";"Usted provocó"
"Indicativo
Pretérito

nosotros [provocar]";"nosotros provocamos"
"Indicativo
Pretérito

nosotras [provocar]";"nosotras provocamos"
"Indicativo
Pretérito

vosotros [provocar]";"vosotros provocasteis"
"Indicativo
Pretérito

vosotras [provocar]";"vosotras provocasteis"
"Indicativo
Pretérito

ellos [provocar]";"ellos provocaron"
"Indicativo
Pretérito

ellas [provocar]";"ellas provocaron"
"Indicativo
Pretérito

Ustedes [provocar]";"Ustedes provocaron"
"Indicativo
Pretérito

yo [publicar]";"yo publiqué"
"Indicativo
Pretérito

tú [publicar]";"tú publicaste"
"Indicativo
Pretérito

él [publicar]";"él publicó"
"Indicativo
Pretérito

ella [publicar]";"ella publicó"
"Indicativo
Pretérito

Usted [publicar]";"Usted publicó"
"Indicativo
Pretérito

nosotros [publicar]";"nosotros publicamos"
"Indicativo
Pretérito

nosotras [publicar]";"nosotras publicamos"
"Indicativo
Pretérito

vosotros [publicar]";"vosotros publicasteis"
"Indicativo
Pretérito

vosotras [publicar]";"vosotras publicasteis"
"Indicativo
Pretérito

ellos [publicar]";"ellos publicaron"
"Indicativo
Pretérito

ellas [publicar]";"ellas publicaron"
"Indicativo
Pretérito

Ustedes [publicar]";"Ustedes publicaron"
"Indicativo
Pretérito

yo [purificar]";"yo purifiqué"
"Indicativo
Pretérito

tú [purificar]";"tú purificaste"
"Indicativo
Pretérito

él [purificar]";"él purificó"
"Indicativo
Pretérito

ella [purificar]";"ella purificó"
"Indicativo
Pretérito

Usted [purificar]";"Usted purificó"
"Indicativo
Pretérito

nosotros [purificar]";"nosotros purificamos"
"Indicativo
Pretérito

nosotras [purificar]";"nosotras purificamos"
"Indicativo
Pretérito

vosotros [purificar]";"vosotros purificasteis"
"Indicativo
Pretérito

vosotras [purificar]";"vosotras purificasteis"
"Indicativo
Pretérito

ellos [purificar]";"ellos purificaron"
"Indicativo
Pretérito

ellas [purificar]";"ellas purificaron"
"Indicativo
Pretérito

Ustedes [purificar]";"Ustedes purificaron"
"Indicativo
Pretérito

yo [quebrar]";"yo quebré"
"Indicativo
Pretérito

tú [quebrar]";"tú quebraste"
"Indicativo
Pretérito

él [quebrar]";"él quebró"
"Indicativo
Pretérito

ella [quebrar]";"ella quebró"
"Indicativo
Pretérito

Usted [quebrar]";"Usted quebró"
"Indicativo
Pretérito

nosotros [quebrar]";"nosotros quebramos"
"Indicativo
Pretérito

nosotras [quebrar]";"nosotras quebramos"
"Indicativo
Pretérito

vosotros [quebrar]";"vosotros quebrasteis"
"Indicativo
Pretérito

vosotras [quebrar]";"vosotras quebrasteis"
"Indicativo
Pretérito

ellos [quebrar]";"ellos quebraron"
"Indicativo
Pretérito

ellas [quebrar]";"ellas quebraron"
"Indicativo
Pretérito

Ustedes [quebrar]";"Ustedes quebraron"
"Indicativo
Pretérito

yo [quedar]";"yo quedé"
"Indicativo
Pretérito

tú [quedar]";"tú quedaste"
"Indicativo
Pretérito

él [quedar]";"él quedó"
"Indicativo
Pretérito

ella [quedar]";"ella quedó"
"Indicativo
Pretérito

Usted [quedar]";"Usted quedó"
"Indicativo
Pretérito

nosotros [quedar]";"nosotros quedamos"
"Indicativo
Pretérito

nosotras [quedar]";"nosotras quedamos"
"Indicativo
Pretérito

vosotros [quedar]";"vosotros quedasteis"
"Indicativo
Pretérito

vosotras [quedar]";"vosotras quedasteis"
"Indicativo
Pretérito

ellos [quedar]";"ellos quedaron"
"Indicativo
Pretérito

ellas [quedar]";"ellas quedaron"
"Indicativo
Pretérito

Ustedes [quedar]";"Ustedes quedaron"
"Indicativo
Pretérito

yo [quemar]";"yo quemé"
"Indicativo
Pretérito

tú [quemar]";"tú quemaste"
"Indicativo
Pretérito

él [quemar]";"él quemó"
"Indicativo
Pretérito

ella [quemar]";"ella quemó"
"Indicativo
Pretérito

Usted [quemar]";"Usted quemó"
"Indicativo
Pretérito

nosotros [quemar]";"nosotros quemamos"
"Indicativo
Pretérito

nosotras [quemar]";"nosotras quemamos"
"Indicativo
Pretérito

vosotros [quemar]";"vosotros quemasteis"
"Indicativo
Pretérito

vosotras [quemar]";"vosotras quemasteis"
"Indicativo
Pretérito

ellos [quemar]";"ellos quemaron"
"Indicativo
Pretérito

ellas [quemar]";"ellas quemaron"
"Indicativo
Pretérito

Ustedes [quemar]";"Ustedes quemaron"
"Indicativo
Pretérito

yo [realizar]";"yo realicé"
"Indicativo
Pretérito

tú [realizar]";"tú realizaste"
"Indicativo
Pretérito

él [realizar]";"él realizó"
"Indicativo
Pretérito

ella [realizar]";"ella realizó"
"Indicativo
Pretérito

Usted [realizar]";"Usted realizó"
"Indicativo
Pretérito

nosotros [realizar]";"nosotros realizamos"
"Indicativo
Pretérito

nosotras [realizar]";"nosotras realizamos"
"Indicativo
Pretérito

vosotros [realizar]";"vosotros realizasteis"
"Indicativo
Pretérito

vosotras [realizar]";"vosotras realizasteis"
"Indicativo
Pretérito

ellos [realizar]";"ellos realizaron"
"Indicativo
Pretérito

ellas [realizar]";"ellas realizaron"
"Indicativo
Pretérito

Ustedes [realizar]";"Ustedes realizaron"
"Indicativo
Pretérito

yo [rechazar]";"yo rechacé"
"Indicativo
Pretérito

tú [rechazar]";"tú rechazaste"
"Indicativo
Pretérito

él [rechazar]";"él rechazó"
"Indicativo
Pretérito

ella [rechazar]";"ella rechazó"
"Indicativo
Pretérito

Usted [rechazar]";"Usted rechazó"
"Indicativo
Pretérito

nosotros [rechazar]";"nosotros rechazamos"
"Indicativo
Pretérito

nosotras [rechazar]";"nosotras rechazamos"
"Indicativo
Pretérito

vosotros [rechazar]";"vosotros rechazasteis"
"Indicativo
Pretérito

vosotras [rechazar]";"vosotras rechazasteis"
"Indicativo
Pretérito

ellos [rechazar]";"ellos rechazaron"
"Indicativo
Pretérito

ellas [rechazar]";"ellas rechazaron"
"Indicativo
Pretérito

Ustedes [rechazar]";"Ustedes rechazaron"
"Indicativo
Pretérito

yo [reciclar]";"yo reciclé"
"Indicativo
Pretérito

tú [reciclar]";"tú reciclaste"
"Indicativo
Pretérito

él [reciclar]";"él recicló"
"Indicativo
Pretérito

ella [reciclar]";"ella recicló"
"Indicativo
Pretérito

Usted [reciclar]";"Usted recicló"
"Indicativo
Pretérito

nosotros [reciclar]";"nosotros reciclamos"
"Indicativo
Pretérito

nosotras [reciclar]";"nosotras reciclamos"
"Indicativo
Pretérito

vosotros [reciclar]";"vosotros reciclasteis"
"Indicativo
Pretérito

vosotras [reciclar]";"vosotras reciclasteis"
"Indicativo
Pretérito

ellos [reciclar]";"ellos reciclaron"
"Indicativo
Pretérito

ellas [reciclar]";"ellas reciclaron"
"Indicativo
Pretérito

Ustedes [reciclar]";"Ustedes reciclaron"
"Indicativo
Pretérito

yo [recomendar]";"yo recomendé"
"Indicativo
Pretérito

tú [recomendar]";"tú recomendaste"
"Indicativo
Pretérito

él [recomendar]";"él recomendó"
"Indicativo
Pretérito

ella [recomendar]";"ella recomendó"
"Indicativo
Pretérito

Usted [recomendar]";"Usted recomendó"
"Indicativo
Pretérito

nosotros [recomendar]";"nosotros recomendamos"
"Indicativo
Pretérito

nosotras [recomendar]";"nosotras recomendamos"
"Indicativo
Pretérito

vosotros [recomendar]";"vosotros recomendasteis"
"Indicativo
Pretérito

vosotras [recomendar]";"vosotras recomendasteis"
"Indicativo
Pretérito

ellos [recomendar]";"ellos recomendaron"
"Indicativo
Pretérito

ellas [recomendar]";"ellas recomendaron"
"Indicativo
Pretérito

Ustedes [recomendar]";"Ustedes recomendaron"
"Indicativo
Pretérito

yo [recordar]";"yo recordé"
"Indicativo
Pretérito

tú [recordar]";"tú recordaste"
"Indicativo
Pretérito

él [recordar]";"él recordó"
"Indicativo
Pretérito

ella [recordar]";"ella recordó"
"Indicativo
Pretérito

Usted [recordar]";"Usted recordó"
"Indicativo
Pretérito

nosotros [recordar]";"nosotros recordamos"
"Indicativo
Pretérito

nosotras [recordar]";"nosotras recordamos"
"Indicativo
Pretérito

vosotros [recordar]";"vosotros recordasteis"
"Indicativo
Pretérito

vosotras [recordar]";"vosotras recordasteis"
"Indicativo
Pretérito

ellos [recordar]";"ellos recordaron"
"Indicativo
Pretérito

ellas [recordar]";"ellas recordaron"
"Indicativo
Pretérito

Ustedes [recordar]";"Ustedes recordaron"
"Indicativo
Pretérito

yo [regalar]";"yo regalé"
"Indicativo
Pretérito

tú [regalar]";"tú regalaste"
"Indicativo
Pretérito

él [regalar]";"él regaló"
"Indicativo
Pretérito

ella [regalar]";"ella regaló"
"Indicativo
Pretérito

Usted [regalar]";"Usted regaló"
"Indicativo
Pretérito

nosotros [regalar]";"nosotros regalamos"
"Indicativo
Pretérito

nosotras [regalar]";"nosotras regalamos"
"Indicativo
Pretérito

vosotros [regalar]";"vosotros regalasteis"
"Indicativo
Pretérito

vosotras [regalar]";"vosotras regalasteis"
"Indicativo
Pretérito

ellos [regalar]";"ellos regalaron"
"Indicativo
Pretérito

ellas [regalar]";"ellas regalaron"
"Indicativo
Pretérito

Ustedes [regalar]";"Ustedes regalaron"
"Indicativo
Pretérito

yo [regar]";"yo regué"
"Indicativo
Pretérito

tú [regar]";"tú regaste"
"Indicativo
Pretérito

él [regar]";"él regó"
"Indicativo
Pretérito

ella [regar]";"ella regó"
"Indicativo
Pretérito

Usted [regar]";"Usted regó"
"Indicativo
Pretérito

nosotros [regar]";"nosotros regamos"
"Indicativo
Pretérito

nosotras [regar]";"nosotras regamos"
"Indicativo
Pretérito

vosotros [regar]";"vosotros regasteis"
"Indicativo
Pretérito

vosotras [regar]";"vosotras regasteis"
"Indicativo
Pretérito

ellos [regar]";"ellos regaron"
"Indicativo
Pretérito

ellas [regar]";"ellas regaron"
"Indicativo
Pretérito

Ustedes [regar]";"Ustedes regaron"
"Indicativo
Pretérito

yo [regatear]";"yo regateé"
"Indicativo
Pretérito

tú [regatear]";"tú regateaste"
"Indicativo
Pretérito

él [regatear]";"él regateó"
"Indicativo
Pretérito

ella [regatear]";"ella regateó"
"Indicativo
Pretérito

Usted [regatear]";"Usted regateó"
"Indicativo
Pretérito

nosotros [regatear]";"nosotros regateamos"
"Indicativo
Pretérito

nosotras [regatear]";"nosotras regateamos"
"Indicativo
Pretérito

vosotros [regatear]";"vosotros regateasteis"
"Indicativo
Pretérito

vosotras [regatear]";"vosotras regateasteis"
"Indicativo
Pretérito

ellos [regatear]";"ellos regatearon"
"Indicativo
Pretérito

ellas [regatear]";"ellas regatearon"
"Indicativo
Pretérito

Ustedes [regatear]";"Ustedes regatearon"
"Indicativo
Pretérito

yo [registrar]";"yo registré"
"Indicativo
Pretérito

tú [registrar]";"tú registraste"
"Indicativo
Pretérito

él [registrar]";"él registró"
"Indicativo
Pretérito

ella [registrar]";"ella registró"
"Indicativo
Pretérito

Usted [registrar]";"Usted registró"
"Indicativo
Pretérito

nosotros [registrar]";"nosotros registramos"
"Indicativo
Pretérito

nosotras [registrar]";"nosotras registramos"
"Indicativo
Pretérito

vosotros [registrar]";"vosotros registrasteis"
"Indicativo
Pretérito

vosotras [registrar]";"vosotras registrasteis"
"Indicativo
Pretérito

ellos [registrar]";"ellos registraron"
"Indicativo
Pretérito

ellas [registrar]";"ellas registraron"
"Indicativo
Pretérito

Ustedes [registrar]";"Ustedes registraron"
"Indicativo
Pretérito

yo [regresar]";"yo regresé"
"Indicativo
Pretérito

tú [regresar]";"tú regresaste"
"Indicativo
Pretérito

él [regresar]";"él regresó"
"Indicativo
Pretérito

ella [regresar]";"ella regresó"
"Indicativo
Pretérito

Usted [regresar]";"Usted regresó"
"Indicativo
Pretérito

nosotros [regresar]";"nosotros regresamos"
"Indicativo
Pretérito

nosotras [regresar]";"nosotras regresamos"
"Indicativo
Pretérito

vosotros [regresar]";"vosotros regresasteis"
"Indicativo
Pretérito

vosotras [regresar]";"vosotras regresasteis"
"Indicativo
Pretérito

ellos [regresar]";"ellos regresaron"
"Indicativo
Pretérito

ellas [regresar]";"ellas regresaron"
"Indicativo
Pretérito

Ustedes [regresar]";"Ustedes regresaron"
"Indicativo
Pretérito

yo [regular]";"yo regulé"
"Indicativo
Pretérito

tú [regular]";"tú regulaste"
"Indicativo
Pretérito

él [regular]";"él reguló"
"Indicativo
Pretérito

ella [regular]";"ella reguló"
"Indicativo
Pretérito

Usted [regular]";"Usted reguló"
"Indicativo
Pretérito

nosotros [regular]";"nosotros regulamos"
"Indicativo
Pretérito

nosotras [regular]";"nosotras regulamos"
"Indicativo
Pretérito

vosotros [regular]";"vosotros regulasteis"
"Indicativo
Pretérito

vosotras [regular]";"vosotras regulasteis"
"Indicativo
Pretérito

ellos [regular]";"ellos regularon"
"Indicativo
Pretérito

ellas [regular]";"ellas regularon"
"Indicativo
Pretérito

Ustedes [regular]";"Ustedes regularon"
"Indicativo
Pretérito

yo [rehusar]";"yo rehusé"
"Indicativo
Pretérito

tú [rehusar]";"tú rehusaste"
"Indicativo
Pretérito

él [rehusar]";"él rehusó"
"Indicativo
Pretérito

ella [rehusar]";"ella rehusó"
"Indicativo
Pretérito

Usted [rehusar]";"Usted rehusó"
"Indicativo
Pretérito

nosotros [rehusar]";"nosotros rehusamos"
"Indicativo
Pretérito

nosotras [rehusar]";"nosotras rehusamos"
"Indicativo
Pretérito

vosotros [rehusar]";"vosotros rehusasteis"
"Indicativo
Pretérito

vosotras [rehusar]";"vosotras rehusasteis"
"Indicativo
Pretérito

ellos [rehusar]";"ellos rehusaron"
"Indicativo
Pretérito

ellas [rehusar]";"ellas rehusaron"
"Indicativo
Pretérito

Ustedes [rehusar]";"Ustedes rehusaron"
"Indicativo
Pretérito

yo [reinar]";"yo reiné"
"Indicativo
Pretérito

tú [reinar]";"tú reinaste"
"Indicativo
Pretérito

él [reinar]";"él reinó"
"Indicativo
Pretérito

ella [reinar]";"ella reinó"
"Indicativo
Pretérito

Usted [reinar]";"Usted reinó"
"Indicativo
Pretérito

nosotros [reinar]";"nosotros reinamos"
"Indicativo
Pretérito

nosotras [reinar]";"nosotras reinamos"
"Indicativo
Pretérito

vosotros [reinar]";"vosotros reinasteis"
"Indicativo
Pretérito

vosotras [reinar]";"vosotras reinasteis"
"Indicativo
Pretérito

ellos [reinar]";"ellos reinaron"
"Indicativo
Pretérito

ellas [reinar]";"ellas reinaron"
"Indicativo
Pretérito

Ustedes [reinar]";"Ustedes reinaron"
"Indicativo
Pretérito

yo [renovar]";"yo renové"
"Indicativo
Pretérito

tú [renovar]";"tú renovaste"
"Indicativo
Pretérito

él [renovar]";"él renovó"
"Indicativo
Pretérito

ella [renovar]";"ella renovó"
"Indicativo
Pretérito

Usted [renovar]";"Usted renovó"
"Indicativo
Pretérito

nosotros [renovar]";"nosotros renovamos"
"Indicativo
Pretérito

nosotras [renovar]";"nosotras renovamos"
"Indicativo
Pretérito

vosotros [renovar]";"vosotros renovasteis"
"Indicativo
Pretérito

vosotras [renovar]";"vosotras renovasteis"
"Indicativo
Pretérito

ellos [renovar]";"ellos renovaron"
"Indicativo
Pretérito

ellas [renovar]";"ellas renovaron"
"Indicativo
Pretérito

Ustedes [renovar]";"Ustedes renovaron"
"Indicativo
Pretérito

yo [renunciar]";"yo renuncié"
"Indicativo
Pretérito

tú [renunciar]";"tú renunciaste"
"Indicativo
Pretérito

él [renunciar]";"él renunció"
"Indicativo
Pretérito

ella [renunciar]";"ella renunció"
"Indicativo
Pretérito

Usted [renunciar]";"Usted renunció"
"Indicativo
Pretérito

nosotros [renunciar]";"nosotros renunciamos"
"Indicativo
Pretérito

nosotras [renunciar]";"nosotras renunciamos"
"Indicativo
Pretérito

vosotros [renunciar]";"vosotros renunciasteis"
"Indicativo
Pretérito

vosotras [renunciar]";"vosotras renunciasteis"
"Indicativo
Pretérito

ellos [renunciar]";"ellos renunciaron"
"Indicativo
Pretérito

ellas [renunciar]";"ellas renunciaron"
"Indicativo
Pretérito

Ustedes [renunciar]";"Ustedes renunciaron"
"Indicativo
Pretérito

yo [reparar]";"yo reparé"
"Indicativo
Pretérito

tú [reparar]";"tú reparaste"
"Indicativo
Pretérito

él [reparar]";"él reparó"
"Indicativo
Pretérito

ella [reparar]";"ella reparó"
"Indicativo
Pretérito

Usted [reparar]";"Usted reparó"
"Indicativo
Pretérito

nosotros [reparar]";"nosotros reparamos"
"Indicativo
Pretérito

nosotras [reparar]";"nosotras reparamos"
"Indicativo
Pretérito

vosotros [reparar]";"vosotros reparasteis"
"Indicativo
Pretérito

vosotras [reparar]";"vosotras reparasteis"
"Indicativo
Pretérito

ellos [reparar]";"ellos repararon"
"Indicativo
Pretérito

ellas [reparar]";"ellas repararon"
"Indicativo
Pretérito

Ustedes [reparar]";"Ustedes repararon"
"Indicativo
Pretérito

yo [repasar]";"yo repasé"
"Indicativo
Pretérito

tú [repasar]";"tú repasaste"
"Indicativo
Pretérito

él [repasar]";"él repasó"
"Indicativo
Pretérito

ella [repasar]";"ella repasó"
"Indicativo
Pretérito

Usted [repasar]";"Usted repasó"
"Indicativo
Pretérito

nosotros [repasar]";"nosotros repasamos"
"Indicativo
Pretérito

nosotras [repasar]";"nosotras repasamos"
"Indicativo
Pretérito

vosotros [repasar]";"vosotros repasasteis"
"Indicativo
Pretérito

vosotras [repasar]";"vosotras repasasteis"
"Indicativo
Pretérito

ellos [repasar]";"ellos repasaron"
"Indicativo
Pretérito

ellas [repasar]";"ellas repasaron"
"Indicativo
Pretérito

Ustedes [repasar]";"Ustedes repasaron"
"Indicativo
Pretérito

yo [replicar]";"yo repliqué"
"Indicativo
Pretérito

tú [replicar]";"tú replicaste"
"Indicativo
Pretérito

él [replicar]";"él replicó"
"Indicativo
Pretérito

ella [replicar]";"ella replicó"
"Indicativo
Pretérito

Usted [replicar]";"Usted replicó"
"Indicativo
Pretérito

nosotros [replicar]";"nosotros replicamos"
"Indicativo
Pretérito

nosotras [replicar]";"nosotras replicamos"
"Indicativo
Pretérito

vosotros [replicar]";"vosotros replicasteis"
"Indicativo
Pretérito

vosotras [replicar]";"vosotras replicasteis"
"Indicativo
Pretérito

ellos [replicar]";"ellos replicaron"
"Indicativo
Pretérito

ellas [replicar]";"ellas replicaron"
"Indicativo
Pretérito

Ustedes [replicar]";"Ustedes replicaron"
"Indicativo
Pretérito

yo [reportar]";"yo reporté"
"Indicativo
Pretérito

tú [reportar]";"tú reportaste"
"Indicativo
Pretérito

él [reportar]";"él reportó"
"Indicativo
Pretérito

ella [reportar]";"ella reportó"
"Indicativo
Pretérito

Usted [reportar]";"Usted reportó"
"Indicativo
Pretérito

nosotros [reportar]";"nosotros reportamos"
"Indicativo
Pretérito

nosotras [reportar]";"nosotras reportamos"
"Indicativo
Pretérito

vosotros [reportar]";"vosotros reportasteis"
"Indicativo
Pretérito

vosotras [reportar]";"vosotras reportasteis"
"Indicativo
Pretérito

ellos [reportar]";"ellos reportaron"
"Indicativo
Pretérito

ellas [reportar]";"ellas reportaron"
"Indicativo
Pretérito

Ustedes [reportar]";"Ustedes reportaron"
"Indicativo
Pretérito

yo [reservar]";"yo reservé"
"Indicativo
Pretérito

tú [reservar]";"tú reservaste"
"Indicativo
Pretérito

él [reservar]";"él reservó"
"Indicativo
Pretérito

ella [reservar]";"ella reservó"
"Indicativo
Pretérito

Usted [reservar]";"Usted reservó"
"Indicativo
Pretérito

nosotros [reservar]";"nosotros reservamos"
"Indicativo
Pretérito

nosotras [reservar]";"nosotras reservamos"
"Indicativo
Pretérito

vosotros [reservar]";"vosotros reservasteis"
"Indicativo
Pretérito

vosotras [reservar]";"vosotras reservasteis"
"Indicativo
Pretérito

ellos [reservar]";"ellos reservaron"
"Indicativo
Pretérito

ellas [reservar]";"ellas reservaron"
"Indicativo
Pretérito

Ustedes [reservar]";"Ustedes reservaron"
"Indicativo
Pretérito

yo [respetar]";"yo respeté"
"Indicativo
Pretérito

tú [respetar]";"tú respetaste"
"Indicativo
Pretérito

él [respetar]";"él respetó"
"Indicativo
Pretérito

ella [respetar]";"ella respetó"
"Indicativo
Pretérito

Usted [respetar]";"Usted respetó"
"Indicativo
Pretérito

nosotros [respetar]";"nosotros respetamos"
"Indicativo
Pretérito

nosotras [respetar]";"nosotras respetamos"
"Indicativo
Pretérito

vosotros [respetar]";"vosotros respetasteis"
"Indicativo
Pretérito

vosotras [respetar]";"vosotras respetasteis"
"Indicativo
Pretérito

ellos [respetar]";"ellos respetaron"
"Indicativo
Pretérito

ellas [respetar]";"ellas respetaron"
"Indicativo
Pretérito

Ustedes [respetar]";"Ustedes respetaron"
"Indicativo
Pretérito

yo [respirar]";"yo respiré"
"Indicativo
Pretérito

tú [respirar]";"tú respiraste"
"Indicativo
Pretérito

él [respirar]";"él respiró"
"Indicativo
Pretérito

ella [respirar]";"ella respiró"
"Indicativo
Pretérito

Usted [respirar]";"Usted respiró"
"Indicativo
Pretérito

nosotros [respirar]";"nosotros respiramos"
"Indicativo
Pretérito

nosotras [respirar]";"nosotras respiramos"
"Indicativo
Pretérito

vosotros [respirar]";"vosotros respirasteis"
"Indicativo
Pretérito

vosotras [respirar]";"vosotras respirasteis"
"Indicativo
Pretérito

ellos [respirar]";"ellos respiraron"
"Indicativo
Pretérito

ellas [respirar]";"ellas respiraron"
"Indicativo
Pretérito

Ustedes [respirar]";"Ustedes respiraron"
"Indicativo
Pretérito

yo [resultar]";"yo resulté"
"Indicativo
Pretérito

tú [resultar]";"tú resultaste"
"Indicativo
Pretérito

él [resultar]";"él resultó"
"Indicativo
Pretérito

ella [resultar]";"ella resultó"
"Indicativo
Pretérito

Usted [resultar]";"Usted resultó"
"Indicativo
Pretérito

nosotros [resultar]";"nosotros resultamos"
"Indicativo
Pretérito

nosotras [resultar]";"nosotras resultamos"
"Indicativo
Pretérito

vosotros [resultar]";"vosotros resultasteis"
"Indicativo
Pretérito

vosotras [resultar]";"vosotras resultasteis"
"Indicativo
Pretérito

ellos [resultar]";"ellos resultaron"
"Indicativo
Pretérito

ellas [resultar]";"ellas resultaron"
"Indicativo
Pretérito

Ustedes [resultar]";"Ustedes resultaron"
"Indicativo
Pretérito

yo [revelar]";"yo revelé"
"Indicativo
Pretérito

tú [revelar]";"tú revelaste"
"Indicativo
Pretérito

él [revelar]";"él reveló"
"Indicativo
Pretérito

ella [revelar]";"ella reveló"
"Indicativo
Pretérito

Usted [revelar]";"Usted reveló"
"Indicativo
Pretérito

nosotros [revelar]";"nosotros revelamos"
"Indicativo
Pretérito

nosotras [revelar]";"nosotras revelamos"
"Indicativo
Pretérito

vosotros [revelar]";"vosotros revelasteis"
"Indicativo
Pretérito

vosotras [revelar]";"vosotras revelasteis"
"Indicativo
Pretérito

ellos [revelar]";"ellos revelaron"
"Indicativo
Pretérito

ellas [revelar]";"ellas revelaron"
"Indicativo
Pretérito

Ustedes [revelar]";"Ustedes revelaron"
"Indicativo
Pretérito

yo [rezar]";"yo recé"
"Indicativo
Pretérito

tú [rezar]";"tú rezaste"
"Indicativo
Pretérito

él [rezar]";"él rezó"
"Indicativo
Pretérito

ella [rezar]";"ella rezó"
"Indicativo
Pretérito

Usted [rezar]";"Usted rezó"
"Indicativo
Pretérito

nosotros [rezar]";"nosotros rezamos"
"Indicativo
Pretérito

nosotras [rezar]";"nosotras rezamos"
"Indicativo
Pretérito

vosotros [rezar]";"vosotros rezasteis"
"Indicativo
Pretérito

vosotras [rezar]";"vosotras rezasteis"
"Indicativo
Pretérito

ellos [rezar]";"ellos rezaron"
"Indicativo
Pretérito

ellas [rezar]";"ellas rezaron"
"Indicativo
Pretérito

Ustedes [rezar]";"Ustedes rezaron"
"Indicativo
Pretérito

yo [robar]";"yo robé"
"Indicativo
Pretérito

tú [robar]";"tú robaste"
"Indicativo
Pretérito

él [robar]";"él robó"
"Indicativo
Pretérito

ella [robar]";"ella robó"
"Indicativo
Pretérito

Usted [robar]";"Usted robó"
"Indicativo
Pretérito

nosotros [robar]";"nosotros robamos"
"Indicativo
Pretérito

nosotras [robar]";"nosotras robamos"
"Indicativo
Pretérito

vosotros [robar]";"vosotros robasteis"
"Indicativo
Pretérito

vosotras [robar]";"vosotras robasteis"
"Indicativo
Pretérito

ellos [robar]";"ellos robaron"
"Indicativo
Pretérito

ellas [robar]";"ellas robaron"
"Indicativo
Pretérito

Ustedes [robar]";"Ustedes robaron"
"Indicativo
Pretérito

yo [rogar]";"yo rogué"
"Indicativo
Pretérito

tú [rogar]";"tú rogaste"
"Indicativo
Pretérito

él [rogar]";"él rogó"
"Indicativo
Pretérito

ella [rogar]";"ella rogó"
"Indicativo
Pretérito

Usted [rogar]";"Usted rogó"
"Indicativo
Pretérito

nosotros [rogar]";"nosotros rogamos"
"Indicativo
Pretérito

nosotras [rogar]";"nosotras rogamos"
"Indicativo
Pretérito

vosotros [rogar]";"vosotros rogasteis"
"Indicativo
Pretérito

vosotras [rogar]";"vosotras rogasteis"
"Indicativo
Pretérito

ellos [rogar]";"ellos rogaron"
"Indicativo
Pretérito

ellas [rogar]";"ellas rogaron"
"Indicativo
Pretérito

Ustedes [rogar]";"Ustedes rogaron"
"Indicativo
Pretérito

yo [sacar]";"yo saqué"
"Indicativo
Pretérito

tú [sacar]";"tú sacaste"
"Indicativo
Pretérito

él [sacar]";"él sacó"
"Indicativo
Pretérito

ella [sacar]";"ella sacó"
"Indicativo
Pretérito

Usted [sacar]";"Usted sacó"
"Indicativo
Pretérito

nosotros [sacar]";"nosotros sacamos"
"Indicativo
Pretérito

nosotras [sacar]";"nosotras sacamos"
"Indicativo
Pretérito

vosotros [sacar]";"vosotros sacasteis"
"Indicativo
Pretérito

vosotras [sacar]";"vosotras sacasteis"
"Indicativo
Pretérito

ellos [sacar]";"ellos sacaron"
"Indicativo
Pretérito

ellas [sacar]";"ellas sacaron"
"Indicativo
Pretérito

Ustedes [sacar]";"Ustedes sacaron"
"Indicativo
Pretérito

yo [sacrificar]";"yo sacrifiqué"
"Indicativo
Pretérito

tú [sacrificar]";"tú sacrificaste"
"Indicativo
Pretérito

él [sacrificar]";"él sacrificó"
"Indicativo
Pretérito

ella [sacrificar]";"ella sacrificó"
"Indicativo
Pretérito

Usted [sacrificar]";"Usted sacrificó"
"Indicativo
Pretérito

nosotros [sacrificar]";"nosotros sacrificamos"
"Indicativo
Pretérito

nosotras [sacrificar]";"nosotras sacrificamos"
"Indicativo
Pretérito

vosotros [sacrificar]";"vosotros sacrificasteis"
"Indicativo
Pretérito

vosotras [sacrificar]";"vosotras sacrificasteis"
"Indicativo
Pretérito

ellos [sacrificar]";"ellos sacrificaron"
"Indicativo
Pretérito

ellas [sacrificar]";"ellas sacrificaron"
"Indicativo
Pretérito

Ustedes [sacrificar]";"Ustedes sacrificaron"
"Indicativo
Pretérito

yo [saltar]";"yo salté"
"Indicativo
Pretérito

tú [saltar]";"tú saltaste"
"Indicativo
Pretérito

él [saltar]";"él saltó"
"Indicativo
Pretérito

ella [saltar]";"ella saltó"
"Indicativo
Pretérito

Usted [saltar]";"Usted saltó"
"Indicativo
Pretérito

nosotros [saltar]";"nosotros saltamos"
"Indicativo
Pretérito

nosotras [saltar]";"nosotras saltamos"
"Indicativo
Pretérito

vosotros [saltar]";"vosotros saltasteis"
"Indicativo
Pretérito

vosotras [saltar]";"vosotras saltasteis"
