#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

ella [ocurrir]";"ella ocurre"
"Indicativo
Presente

Usted [ocurrir]";"Usted ocurre"
"Indicativo
Presente

nosotros [ocurrir]";"nosotros "
"Indicativo
Presente

nosotras [ocurrir]";"nosotras "
"Indicativo
Presente

vosotros [ocurrir]";"vosotros "
"Indicativo
Presente

vosotras [ocurrir]";"vosotras "
"Indicativo
Presente

ellos [ocurrir]";"ellos ocurren"
"Indicativo
Presente

ellas [ocurrir]";"ellas ocurren"
"Indicativo
Presente

Ustedes [ocurrir]";"Ustedes ocurren"
"Indicativo
Presente

yo [ofender]";"yo ofendo"
"Indicativo
Presente

tú [ofender]";"tú ofendes"
"Indicativo
Presente

él [ofender]";"él ofende"
"Indicativo
Presente

ella [ofender]";"ella ofende"
"Indicativo
Presente

Usted [ofender]";"Usted ofende"
"Indicativo
Presente

nosotros [ofender]";"nosotros ofendemos"
"Indicativo
Presente

nosotras [ofender]";"nosotras ofendemos"
"Indicativo
Presente

vosotros [ofender]";"vosotros ofendéis"
"Indicativo
Presente

vosotras [ofender]";"vosotras ofendéis"
"Indicativo
Presente

ellos [ofender]";"ellos ofenden"
"Indicativo
Presente

ellas [ofender]";"ellas ofenden"
"Indicativo
Presente

Ustedes [ofender]";"Ustedes ofenden"
"Indicativo
Presente

yo [ofrecer]";"yo ofrezco"
"Indicativo
Presente

tú [ofrecer]";"tú ofreces"
"Indicativo
Presente

él [ofrecer]";"él ofrece"
"Indicativo
Presente

ella [ofrecer]";"ella ofrece"
"Indicativo
Presente

Usted [ofrecer]";"Usted ofrece"
"Indicativo
Presente

nosotros [ofrecer]";"nosotros ofrecemos"
"Indicativo
Presente

nosotras [ofrecer]";"nosotras ofrecemos"
"Indicativo
Presente

vosotros [ofrecer]";"vosotros ofrecéis"
"Indicativo
Presente

vosotras [ofrecer]";"vosotras ofrecéis"
"Indicativo
Presente

ellos [ofrecer]";"ellos ofrecen"
"Indicativo
Presente

ellas [ofrecer]";"ellas ofrecen"
"Indicativo
Presente

Ustedes [ofrecer]";"Ustedes ofrecen"
"Indicativo
Presente

yo [oler]";"yo huelo"
"Indicativo
Presente

tú [oler]";"tú hueles"
"Indicativo
Presente

él [oler]";"él huele"
"Indicativo
Presente

ella [oler]";"ella huele"
"Indicativo
Presente

Usted [oler]";"Usted huele"
"Indicativo
Presente

nosotros [oler]";"nosotros olemos"
"Indicativo
Presente

nosotras [oler]";"nosotras olemos"
"Indicativo
Presente

vosotros [oler]";"vosotros oléis"
"Indicativo
Presente

vosotras [oler]";"vosotras oléis"
"Indicativo
Presente

ellos [oler]";"ellos huelen"
"Indicativo
Presente

ellas [oler]";"ellas huelen"
"Indicativo
Presente

Ustedes [oler]";"Ustedes huelen"
"Indicativo
Presente

yo [oponer]";"yo opongo"
"Indicativo
Presente

tú [oponer]";"tú opones"
"Indicativo
Presente

él [oponer]";"él opone"
"Indicativo
Presente

ella [oponer]";"ella opone"
"Indicativo
Presente

Usted [oponer]";"Usted opone"
"Indicativo
Presente

nosotros [oponer]";"nosotros oponemos"
"Indicativo
Presente

nosotras [oponer]";"nosotras oponemos"
"Indicativo
Presente

vosotros [oponer]";"vosotros oponéis"
"Indicativo
Presente

vosotras [oponer]";"vosotras oponéis"
"Indicativo
Presente

ellos [oponer]";"ellos oponen"
"Indicativo
Presente

ellas [oponer]";"ellas oponen"
"Indicativo
Presente

Ustedes [oponer]";"Ustedes oponen"
"Indicativo
Presente

yo [padecer]";"yo padezco"
"Indicativo
Presente

tú [padecer]";"tú padeces"
"Indicativo
Presente

él [padecer]";"él padece"
"Indicativo
Presente

ella [padecer]";"ella padece"
"Indicativo
Presente

Usted [padecer]";"Usted padece"
"Indicativo
Presente

nosotros [padecer]";"nosotros padecemos"
"Indicativo
Presente

nosotras [padecer]";"nosotras padecemos"
"Indicativo
Presente

vosotros [padecer]";"vosotros padecéis"
"Indicativo
Presente

vosotras [padecer]";"vosotras padecéis"
"Indicativo
Presente

ellos [padecer]";"ellos padecen"
"Indicativo
Presente

ellas [padecer]";"ellas padecen"
"Indicativo
Presente

Ustedes [padecer]";"Ustedes padecen"
"Indicativo
Presente

yo [parecer]";"yo parezco"
"Indicativo
Presente

tú [parecer]";"tú pareces"
"Indicativo
Presente

él [parecer]";"él parece"
"Indicativo
Presente

ella [parecer]";"ella parece"
"Indicativo
Presente

Usted [parecer]";"Usted parece"
"Indicativo
Presente

nosotros [parecer]";"nosotros parecemos"
"Indicativo
Presente

nosotras [parecer]";"nosotras parecemos"
"Indicativo
Presente

vosotros [parecer]";"vosotros parecéis"
"Indicativo
Presente

vosotras [parecer]";"vosotras parecéis"
"Indicativo
Presente

ellos [parecer]";"ellos parecen"
"Indicativo
Presente

ellas [parecer]";"ellas parecen"
"Indicativo
Presente

Ustedes [parecer]";"Ustedes parecen"
"Indicativo
Presente

yo [pedir]";"yo pido"
"Indicativo
Presente

tú [pedir]";"tú pides"
"Indicativo
Presente

él [pedir]";"él pide"
"Indicativo
Presente

ella [pedir]";"ella pide"
"Indicativo
Presente

Usted [pedir]";"Usted pide"
"Indicativo
Presente

nosotros [pedir]";"nosotros pedimos"
"Indicativo
Presente

nosotras [pedir]";"nosotras pedimos"
"Indicativo
Presente

vosotros [pedir]";"vosotros pedís"
"Indicativo
Presente

vosotras [pedir]";"vosotras pedís"
"Indicativo
Presente

ellos [pedir]";"ellos piden"
"Indicativo
Presente

ellas [pedir]";"ellas piden"
"Indicativo
Presente

Ustedes [pedir]";"Ustedes piden"
"Indicativo
Presente

yo [perder]";"yo pierdo"
"Indicativo
Presente

tú [perder]";"tú pierdes"
"Indicativo
Presente

él [perder]";"él pierde"
"Indicativo
Presente

ella [perder]";"ella pierde"
"Indicativo
Presente

Usted [perder]";"Usted pierde"
"Indicativo
Presente

nosotros [perder]";"nosotros perdemos"
"Indicativo
Presente

nosotras [perder]";"nosotras perdemos"
"Indicativo
Presente

vosotros [perder]";"vosotros perdéis"
"Indicativo
Presente

vosotras [perder]";"vosotras perdéis"
"Indicativo
Presente

ellos [perder]";"ellos pierden"
"Indicativo
Presente

ellas [perder]";"ellas pierden"
"Indicativo
Presente

Ustedes [perder]";"Ustedes pierden"
"Indicativo
Presente

yo [permanecer]";"yo permanezco"
"Indicativo
Presente

tú [permanecer]";"tú permaneces"
"Indicativo
Presente

él [permanecer]";"él permanece"
"Indicativo
Presente

ella [permanecer]";"ella permanece"
"Indicativo
Presente

Usted [permanecer]";"Usted permanece"
"Indicativo
Presente

nosotros [permanecer]";"nosotros permanecemos"
"Indicativo
Presente

nosotras [permanecer]";"nosotras permanecemos"
"Indicativo
Presente

vosotros [permanecer]";"vosotros permanecéis"
"Indicativo
Presente

vosotras [permanecer]";"vosotras permanecéis"
"Indicativo
Presente

ellos [permanecer]";"ellos permanecen"
"Indicativo
Presente

ellas [permanecer]";"ellas permanecen"
"Indicativo
Presente

Ustedes [permanecer]";"Ustedes permanecen"
"Indicativo
Presente

yo [permitir]";"yo permito"
"Indicativo
Presente

tú [permitir]";"tú permites"
"Indicativo
Presente

él [permitir]";"él permite"
"Indicativo
Presente

ella [permitir]";"ella permite"
"Indicativo
Presente

Usted [permitir]";"Usted permite"
"Indicativo
Presente

nosotros [permitir]";"nosotros permitimos"
"Indicativo
Presente

nosotras [permitir]";"nosotras permitimos"
"Indicativo
Presente

vosotros [permitir]";"vosotros permitís"
"Indicativo
Presente

vosotras [permitir]";"vosotras permitís"
"Indicativo
Presente

ellos [permitir]";"ellos permiten"
"Indicativo
Presente

ellas [permitir]";"ellas permiten"
"Indicativo
Presente

Ustedes [permitir]";"Ustedes permiten"
"Indicativo
Presente

yo [perseguir]";"yo persigo"
"Indicativo
Presente

tú [perseguir]";"tú persigues"
"Indicativo
Presente

él [perseguir]";"él persigue"
"Indicativo
Presente

ella [perseguir]";"ella persigue"
"Indicativo
Presente

Usted [perseguir]";"Usted persigue"
"Indicativo
Presente

nosotros [perseguir]";"nosotros perseguimos"
"Indicativo
Presente

nosotras [perseguir]";"nosotras perseguimos"
"Indicativo
Presente

vosotros [perseguir]";"vosotros perseguís"
"Indicativo
Presente

vosotras [perseguir]";"vosotras perseguís"
"Indicativo
Presente

ellos [perseguir]";"ellos persiguen"
"Indicativo
Presente

ellas [perseguir]";"ellas persiguen"
"Indicativo
Presente

Ustedes [perseguir]";"Ustedes persiguen"
"Indicativo
Presente

yo [pertenecer]";"yo pertenezco"
"Indicativo
Presente

tú [pertenecer]";"tú perteneces"
"Indicativo
Presente

él [pertenecer]";"él pertenece"
"Indicativo
Presente

ella [pertenecer]";"ella pertenece"
"Indicativo
Presente

Usted [pertenecer]";"Usted pertenece"
"Indicativo
Presente

nosotros [pertenecer]";"nosotros pertenecemos"
"Indicativo
Presente

nosotras [pertenecer]";"nosotras pertenecemos"
"Indicativo
Presente

vosotros [pertenecer]";"vosotros pertenecéis"
"Indicativo
Presente

vosotras [pertenecer]";"vosotras pertenecéis"
"Indicativo
Presente

ellos [pertenecer]";"ellos pertenecen"
"Indicativo
Presente

ellas [pertenecer]";"ellas pertenecen"
"Indicativo
Presente

Ustedes [pertenecer]";"Ustedes pertenecen"
"Indicativo
Presente

yo [poder]";"yo puedo"
"Indicativo
Presente

tú [poder]";"tú puedes"
"Indicativo
Presente

él [poder]";"él puede"
"Indicativo
Presente

ella [poder]";"ella puede"
"Indicativo
Presente

Usted [poder]";"Usted puede"
"Indicativo
Presente

nosotros [poder]";"nosotros podemos"
"Indicativo
Presente

nosotras [poder]";"nosotras podemos"
"Indicativo
Presente

vosotros [poder]";"vosotros podéis"
"Indicativo
Presente

vosotras [poder]";"vosotras podéis"
"Indicativo
Presente

ellos [poder]";"ellos pueden"
"Indicativo
Presente

ellas [poder]";"ellas pueden"
"Indicativo
Presente

Ustedes [poder]";"Ustedes pueden"
"Indicativo
Presente

yo [poner]";"yo pongo"
"Indicativo
Presente

tú [poner]";"tú pones"
"Indicativo
Presente

él [poner]";"él pone"
"Indicativo
Presente

ella [poner]";"ella pone"
"Indicativo
Presente

Usted [poner]";"Usted pone"
"Indicativo
Presente

nosotros [poner]";"nosotros ponemos"
"Indicativo
Presente

nosotras [poner]";"nosotras ponemos"
"Indicativo
Presente

vosotros [poner]";"vosotros ponéis"
"Indicativo
Presente

vosotras [poner]";"vosotras ponéis"
"Indicativo
Presente

ellos [poner]";"ellos ponen"
"Indicativo
Presente

ellas [poner]";"ellas ponen"
"Indicativo
Presente

Ustedes [poner]";"Ustedes ponen"
"Indicativo
Presente

yo [predecir]";"yo predigo"
"Indicativo
Presente

tú [predecir]";"tú predices"
"Indicativo
Presente

él [predecir]";"él predice"
"Indicativo
Presente

ella [predecir]";"ella predice"
"Indicativo
Presente

Usted [predecir]";"Usted predice"
"Indicativo
Presente

nosotros [predecir]";"nosotros predecimos"
"Indicativo
Presente

nosotras [predecir]";"nosotras predecimos"
"Indicativo
Presente

vosotros [predecir]";"vosotros predecís"
"Indicativo
Presente

vosotras [predecir]";"vosotras predecís"
"Indicativo
Presente

ellos [predecir]";"ellos predicen"
"Indicativo
Presente

ellas [predecir]";"ellas predicen"
"Indicativo
Presente

Ustedes [predecir]";"Ustedes predicen"
"Indicativo
Presente

yo [preferir]";"yo prefiero"
"Indicativo
Presente

tú [preferir]";"tú prefieres"
"Indicativo
Presente

él [preferir]";"él prefiere"
"Indicativo
Presente

ella [preferir]";"ella prefiere"
"Indicativo
Presente

Usted [preferir]";"Usted prefiere"
"Indicativo
Presente

nosotros [preferir]";"nosotros preferimos"
"Indicativo
Presente

nosotras [preferir]";"nosotras preferimos"
"Indicativo
Presente

vosotros [preferir]";"vosotros preferís"
"Indicativo
Presente

vosotras [preferir]";"vosotras preferís"
"Indicativo
Presente

ellos [preferir]";"ellos prefieren"
"Indicativo
Presente

ellas [preferir]";"ellas prefieren"
"Indicativo
Presente

Ustedes [preferir]";"Ustedes prefieren"
"Indicativo
Presente

yo [presentir]";"yo presiento"
"Indicativo
Presente

tú [presentir]";"tú presientes"
"Indicativo
Presente

él [presentir]";"él presiente"
"Indicativo
Presente

ella [presentir]";"ella presiente"
"Indicativo
Presente

Usted [presentir]";"Usted presiente"
"Indicativo
Presente

nosotros [presentir]";"nosotros presentimos"
"Indicativo
Presente

nosotras [presentir]";"nosotras presentimos"
"Indicativo
Presente

vosotros [presentir]";"vosotros presentís"
"Indicativo
Presente

vosotras [presentir]";"vosotras presentís"
"Indicativo
Presente

ellos [presentir]";"ellos presienten"
"Indicativo
Presente

ellas [presentir]";"ellas presienten"
"Indicativo
Presente

Ustedes [presentir]";"Ustedes presienten"
"Indicativo
Presente

yo [prever]";"yo preveo"
"Indicativo
Presente

tú [prever]";"tú prevés"
"Indicativo
Presente

él [prever]";"él prevé"
"Indicativo
Presente

ella [prever]";"ella prevé"
"Indicativo
Presente

Usted [prever]";"Usted prevé"
"Indicativo
Presente

nosotros [prever]";"nosotros prevemos"
"Indicativo
Presente

nosotras [prever]";"nosotras prevemos"
"Indicativo
Presente

vosotros [prever]";"vosotros prevéis"
"Indicativo
Presente

vosotras [prever]";"vosotras prevéis"
"Indicativo
Presente

ellos [prever]";"ellos prevén"
"Indicativo
Presente

ellas [prever]";"ellas prevén"
"Indicativo
Presente

Ustedes [prever]";"Ustedes prevén"
"Indicativo
Presente

yo [producir]";"yo produzco"
"Indicativo
Presente

tú [producir]";"tú produces"
"Indicativo
Presente

él [producir]";"él produce"
"Indicativo
Presente

ella [producir]";"ella produce"
"Indicativo
Presente

Usted [producir]";"Usted produce"
"Indicativo
Presente

nosotros [producir]";"nosotros producimos"
"Indicativo
Presente

nosotras [producir]";"nosotras producimos"
"Indicativo
Presente

vosotros [producir]";"vosotros producís"
"Indicativo
Presente

vosotras [producir]";"vosotras producís"
"Indicativo
Presente

ellos [producir]";"ellos producen"
"Indicativo
Presente

ellas [producir]";"ellas producen"
"Indicativo
Presente

Ustedes [producir]";"Ustedes producen"
"Indicativo
Presente

yo [prohibir]";"yo prohíbo"
"Indicativo
Presente

tú [prohibir]";"tú prohíbes"
"Indicativo
Presente

él [prohibir]";"él prohíbe"
"Indicativo
Presente

ella [prohibir]";"ella prohíbe"
"Indicativo
Presente

Usted [prohibir]";"Usted prohíbe"
"Indicativo
Presente

nosotros [prohibir]";"nosotros prohibimos"
"Indicativo
Presente

nosotras [prohibir]";"nosotras prohibimos"
"Indicativo
Presente

vosotros [prohibir]";"vosotros prohibís"
"Indicativo
Presente

vosotras [prohibir]";"vosotras prohibís"
"Indicativo
Presente

ellos [prohibir]";"ellos prohíben"
"Indicativo
Presente

ellas [prohibir]";"ellas prohíben"
"Indicativo
Presente

Ustedes [prohibir]";"Ustedes prohíben"
"Indicativo
Presente

yo [prometer]";"yo prometo"
"Indicativo
Presente

tú [prometer]";"tú prometes"
"Indicativo
Presente

él [prometer]";"él promete"
"Indicativo
Presente

ella [prometer]";"ella promete"
"Indicativo
Presente

Usted [prometer]";"Usted promete"
"Indicativo
Presente

nosotros [prometer]";"nosotros prometemos"
"Indicativo
Presente

nosotras [prometer]";"nosotras prometemos"
"Indicativo
Presente

vosotros [prometer]";"vosotros prometéis"
"Indicativo
Presente

vosotras [prometer]";"vosotras prometéis"
"Indicativo
Presente

ellos [prometer]";"ellos prometen"
"Indicativo
Presente

ellas [prometer]";"ellas prometen"
"Indicativo
Presente

Ustedes [prometer]";"Ustedes prometen"
"Indicativo
Presente

yo [proponer]";"yo propongo"
"Indicativo
Presente

tú [proponer]";"tú propones"
"Indicativo
Presente

él [proponer]";"él propone"
"Indicativo
Presente

ella [proponer]";"ella propone"
"Indicativo
Presente

Usted [proponer]";"Usted propone"
"Indicativo
Presente

nosotros [proponer]";"nosotros proponemos"
"Indicativo
Presente

nosotras [proponer]";"nosotras proponemos"
"Indicativo
Presente

vosotros [proponer]";"vosotros proponéis"
"Indicativo
Presente

vosotras [proponer]";"vosotras proponéis"
"Indicativo
Presente

ellos [proponer]";"ellos proponen"
"Indicativo
Presente

ellas [proponer]";"ellas proponen"
"Indicativo
Presente

Ustedes [proponer]";"Ustedes proponen"
"Indicativo
Presente

yo [proseguir]";"yo prosigo"
"Indicativo
Presente

tú [proseguir]";"tú prosigues"
"Indicativo
Presente

él [proseguir]";"él prosigue"
"Indicativo
Presente

ella [proseguir]";"ella prosigue"
"Indicativo
Presente

Usted [proseguir]";"Usted prosigue"
"Indicativo
Presente

nosotros [proseguir]";"nosotros proseguimos"
"Indicativo
Presente

nosotras [proseguir]";"nosotras proseguimos"
"Indicativo
Presente

vosotros [proseguir]";"vosotros proseguís"
"Indicativo
Presente

vosotras [proseguir]";"vosotras proseguís"
"Indicativo
Presente

ellos [proseguir]";"ellos prosiguen"
"Indicativo
Presente

ellas [proseguir]";"ellas prosiguen"
"Indicativo
Presente

Ustedes [proseguir]";"Ustedes prosiguen"
"Indicativo
Presente

yo [proteger]";"yo protejo"
"Indicativo
Presente

tú [proteger]";"tú proteges"
"Indicativo
Presente

él [proteger]";"él protege"
"Indicativo
Presente

ella [proteger]";"ella protege"
"Indicativo
Presente

Usted [proteger]";"Usted protege"
"Indicativo
Presente

nosotros [proteger]";"nosotros protegemos"
"Indicativo
Presente

nosotras [proteger]";"nosotras protegemos"
"Indicativo
Presente

vosotros [proteger]";"vosotros protegéis"
"Indicativo
Presente

vosotras [proteger]";"vosotras protegéis"
"Indicativo
Presente

ellos [proteger]";"ellos protegen"
"Indicativo
Presente

ellas [proteger]";"ellas protegen"
"Indicativo
Presente

Ustedes [proteger]";"Ustedes protegen"
"Indicativo
Presente

yo [querer]";"yo quiero"
"Indicativo
Presente

tú [querer]";"tú quieres"
"Indicativo
Presente

él [querer]";"él quiere"
"Indicativo
Presente

ella [querer]";"ella quiere"
"Indicativo
Presente

Usted [querer]";"Usted quiere"
"Indicativo
Presente

nosotros [querer]";"nosotros queremos"
"Indicativo
Presente

nosotras [querer]";"nosotras queremos"
"Indicativo
Presente

vosotros [querer]";"vosotros queréis"
"Indicativo
Presente

vosotras [querer]";"vosotras queréis"
"Indicativo
Presente

ellos [querer]";"ellos quieren"
"Indicativo
Presente

ellas [querer]";"ellas quieren"
"Indicativo
Presente

Ustedes [querer]";"Ustedes quieren"
"Indicativo
Presente

yo [recibir]";"yo recibo"
"Indicativo
Presente

tú [recibir]";"tú recibes"
"Indicativo
Presente

él [recibir]";"él recibe"
"Indicativo
Presente

ella [recibir]";"ella recibe"
"Indicativo
Presente

Usted [recibir]";"Usted recibe"
"Indicativo
Presente

nosotros [recibir]";"nosotros recibimos"
"Indicativo
Presente

nosotras [recibir]";"nosotras recibimos"
"Indicativo
Presente

vosotros [recibir]";"vosotros recibís"
"Indicativo
Presente

vosotras [recibir]";"vosotras recibís"
"Indicativo
Presente

ellos [recibir]";"ellos reciben"
"Indicativo
Presente

ellas [recibir]";"ellas reciben"
"Indicativo
Presente

Ustedes [recibir]";"Ustedes reciben"
"Indicativo
Presente

yo [recoger]";"yo recojo"
"Indicativo
Presente

tú [recoger]";"tú recoges"
"Indicativo
Presente

él [recoger]";"él recoge"
"Indicativo
Presente

ella [recoger]";"ella recoge"
"Indicativo
Presente

Usted [recoger]";"Usted recoge"
"Indicativo
Presente

nosotros [recoger]";"nosotros recogemos"
"Indicativo
Presente

nosotras [recoger]";"nosotras recogemos"
"Indicativo
Presente

vosotros [recoger]";"vosotros recogéis"
"Indicativo
Presente

vosotras [recoger]";"vosotras recogéis"
"Indicativo
Presente

ellos [recoger]";"ellos recogen"
"Indicativo
Presente

ellas [recoger]";"ellas recogen"
"Indicativo
Presente

Ustedes [recoger]";"Ustedes recogen"
"Indicativo
Presente

yo [reconocer]";"yo reconozco"
"Indicativo
Presente

tú [reconocer]";"tú reconoces"
"Indicativo
Presente

él [reconocer]";"él reconoce"
"Indicativo
Presente

ella [reconocer]";"ella reconoce"
"Indicativo
Presente

Usted [reconocer]";"Usted reconoce"
"Indicativo
Presente

nosotros [reconocer]";"nosotros reconocemos"
"Indicativo
Presente

nosotras [reconocer]";"nosotras reconocemos"
"Indicativo
Presente

vosotros [reconocer]";"vosotros reconocéis"
"Indicativo
Presente

vosotras [reconocer]";"vosotras reconocéis"
"Indicativo
Presente

ellos [reconocer]";"ellos reconocen"
"Indicativo
Presente

ellas [reconocer]";"ellas reconocen"
"Indicativo
Presente

Ustedes [reconocer]";"Ustedes reconocen"
"Indicativo
Presente

yo [reducir]";"yo reduzco"
"Indicativo
Presente

tú [reducir]";"tú reduces"
"Indicativo
Presente

él [reducir]";"él reduce"
"Indicativo
Presente

ella [reducir]";"ella reduce"
"Indicativo
Presente

Usted [reducir]";"Usted reduce"
"Indicativo
Presente

nosotros [reducir]";"nosotros reducimos"
"Indicativo
Presente

nosotras [reducir]";"nosotras reducimos"
"Indicativo
Presente

vosotros [reducir]";"vosotros reducís"
"Indicativo
Presente

vosotras [reducir]";"vosotras reducís"
"Indicativo
Presente

ellos [reducir]";"ellos reducen"
"Indicativo
Presente

ellas [reducir]";"ellas reducen"
"Indicativo
Presente

Ustedes [reducir]";"Ustedes reducen"
"Indicativo
Presente

yo [regir]";"yo rijo"
"Indicativo
Presente

tú [regir]";"tú riges"
"Indicativo
Presente

él [regir]";"él rige"
"Indicativo
Presente

ella [regir]";"ella rige"
"Indicativo
Presente

Usted [regir]";"Usted rige"
"Indicativo
Presente

nosotros [regir]";"nosotros regimos"
"Indicativo
Presente

nosotras [regir]";"nosotras regimos"
"Indicativo
Presente

vosotros [regir]";"vosotros regís"
"Indicativo
Presente

vosotras [regir]";"vosotras regís"
"Indicativo
Presente

ellos [regir]";"ellos rigen"
"Indicativo
Presente

ellas [regir]";"ellas rigen"
"Indicativo
Presente

Ustedes [regir]";"Ustedes rigen"
"Indicativo
Presente

yo [renacer]";"yo renazco"
"Indicativo
Presente

tú [renacer]";"tú renaces"
"Indicativo
Presente

él [renacer]";"él renace"
"Indicativo
Presente

ella [renacer]";"ella renace"
"Indicativo
Presente

Usted [renacer]";"Usted renace"
"Indicativo
Presente

nosotros [renacer]";"nosotros renacemos"
"Indicativo
Presente

nosotras [renacer]";"nosotras renacemos"
"Indicativo
Presente

vosotros [renacer]";"vosotros renacéis"
"Indicativo
Presente

vosotras [renacer]";"vosotras renacéis"
"Indicativo
Presente

ellos [renacer]";"ellos renacen"
"Indicativo
Presente

ellas [renacer]";"ellas renacen"
"Indicativo
Presente

Ustedes [renacer]";"Ustedes renacen"
"Indicativo
Presente

yo [reñir]";"yo riño"
"Indicativo
Presente

tú [reñir]";"tú riñes"
"Indicativo
Presente

él [reñir]";"él riñe"
"Indicativo
Presente

ella [reñir]";"ella riñe"
"Indicativo
Presente

Usted [reñir]";"Usted riñe"
"Indicativo
Presente

nosotros [reñir]";"nosotros reñimos"
"Indicativo
Presente

nosotras [reñir]";"nosotras reñimos"
"Indicativo
Presente

vosotros [reñir]";"vosotros reñís"
"Indicativo
Presente

vosotras [reñir]";"vosotras reñís"
"Indicativo
Presente

ellos [reñir]";"ellos riñen"
"Indicativo
Presente

ellas [reñir]";"ellas riñen"
"Indicativo
Presente

Ustedes [reñir]";"Ustedes riñen"
"Indicativo
Presente

yo [repetir]";"yo repito"
"Indicativo
Presente

tú [repetir]";"tú repites"
"Indicativo
Presente

él [repetir]";"él repite"
"Indicativo
Presente

ella [repetir]";"ella repite"
"Indicativo
Presente

Usted [repetir]";"Usted repite"
"Indicativo
Presente

nosotros [repetir]";"nosotros repetimos"
"Indicativo
Presente

nosotras [repetir]";"nosotras repetimos"
"Indicativo
Presente

vosotros [repetir]";"vosotros repetís"
"Indicativo
Presente

vosotras [repetir]";"vosotras repetís"
"Indicativo
Presente

ellos [repetir]";"ellos repiten"
"Indicativo
Presente

ellas [repetir]";"ellas repiten"
"Indicativo
Presente

Ustedes [repetir]";"Ustedes repiten"
"Indicativo
Presente

yo [requerir]";"yo requiero"
"Indicativo
Presente

tú [requerir]";"tú requieres"
"Indicativo
Presente

él [requerir]";"él requiere"
"Indicativo
Presente

ella [requerir]";"ella requiere"
"Indicativo
Presente

Usted [requerir]";"Usted requiere"
"Indicativo
Presente

nosotros [requerir]";"nosotros requerimos"
"Indicativo
Presente

nosotras [requerir]";"nosotras requerimos"
"Indicativo
Presente

vosotros [requerir]";"vosotros requerís"
"Indicativo
Presente

vosotras [requerir]";"vosotras requerís"
"Indicativo
Presente

ellos [requerir]";"ellos requieren"
"Indicativo
Presente

ellas [requerir]";"ellas requieren"
"Indicativo
Presente

Ustedes [requerir]";"Ustedes requieren"
"Indicativo
Presente

yo [resolver]";"yo resuelvo"
"Indicativo
Presente

tú [resolver]";"tú resuelves"
"Indicativo
Presente

él [resolver]";"él resuelve"
"Indicativo
Presente

ella [resolver]";"ella resuelve"
"Indicativo
Presente

Usted [resolver]";"Usted resuelve"
"Indicativo
Presente

nosotros [resolver]";"nosotros resolvemos"
"Indicativo
Presente

nosotras [resolver]";"nosotras resolvemos"
"Indicativo
Presente

vosotros [resolver]";"vosotros resolvéis"
"Indicativo
Presente

vosotras [resolver]";"vosotras resolvéis"
"Indicativo
Presente

ellos [resolver]";"ellos resuelven"
"Indicativo
Presente

ellas [resolver]";"ellas resuelven"
"Indicativo
Presente

Ustedes [resolver]";"Ustedes resuelven"
"Indicativo
Presente

yo [responder]";"yo respondo"
"Indicativo
Presente

tú [responder]";"tú respondes"
"Indicativo
Presente

él [responder]";"él responde"
"Indicativo
Presente

ella [responder]";"ella responde"
"Indicativo
Presente

Usted [responder]";"Usted responde"
"Indicativo
Presente

nosotros [responder]";"nosotros respondemos"
"Indicativo
Presente

nosotras [responder]";"nosotras respondemos"
"Indicativo
Presente

vosotros [responder]";"vosotros respondéis"
"Indicativo
Presente

vosotras [responder]";"vosotras respondéis"
"Indicativo
Presente

ellos [responder]";"ellos responden"
"Indicativo
Presente

ellas [responder]";"ellas responden"
"Indicativo
Presente

Ustedes [responder]";"Ustedes responden"
"Indicativo
Presente

yo [romper]";"yo rompo"
"Indicativo
Presente

tú [romper]";"tú rompes"
"Indicativo
Presente

él [romper]";"él rompe"
"Indicativo
Presente

ella [romper]";"ella rompe"
"Indicativo
Presente

Usted [romper]";"Usted rompe"
"Indicativo
Presente

nosotros [romper]";"nosotros rompemos"
"Indicativo
Presente

nosotras [romper]";"nosotras rompemos"
"Indicativo
Presente

vosotros [romper]";"vosotros rompéis"
"Indicativo
Presente

vosotras [romper]";"vosotras rompéis"
"Indicativo
Presente

ellos [romper]";"ellos rompen"
"Indicativo
Presente

ellas [romper]";"ellas rompen"
"Indicativo
Presente

Ustedes [romper]";"Ustedes rompen"
"Indicativo
Presente

yo [saber]";"yo sé"
"Indicativo
Presente

tú [saber]";"tú sabes"
"Indicativo
Presente

él [saber]";"él sabe"
"Indicativo
Presente

ella [saber]";"ella sabe"
"Indicativo
Presente

Usted [saber]";"Usted sabe"
"Indicativo
Presente

nosotros [saber]";"nosotros sabemos"
"Indicativo
Presente

nosotras [saber]";"nosotras sabemos"
"Indicativo
Presente

vosotros [saber]";"vosotros sabéis"
"Indicativo
Presente

vosotras [saber]";"vosotras sabéis"
"Indicativo
Presente

ellos [saber]";"ellos saben"
"Indicativo
Presente

ellas [saber]";"ellas saben"
"Indicativo
Presente

Ustedes [saber]";"Ustedes saben"
"Indicativo
Presente

yo [sacudir]";"yo sacudo"
"Indicativo
Presente

tú [sacudir]";"tú sacudes"
"Indicativo
Presente

él [sacudir]";"él sacude"
"Indicativo
Presente

ella [sacudir]";"ella sacude"
"Indicativo
Presente

Usted [sacudir]";"Usted sacude"
"Indicativo
Presente

nosotros [sacudir]";"nosotros sacudimos"
"Indicativo
Presente

nosotras [sacudir]";"nosotras sacudimos"
"Indicativo
Presente

vosotros [sacudir]";"vosotros sacudís"
