#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

ellos [llover]";"ellos "
"Indicativo
Pretérito

ellas [llover]";"ellas "
"Indicativo
Pretérito

Ustedes [llover]";"Ustedes "
"Indicativo
Pretérito

yo [mantener]";"yo mantuve"
"Indicativo
Pretérito

tú [mantener]";"tú mantuviste"
"Indicativo
Pretérito

él [mantener]";"él mantuvo"
"Indicativo
Pretérito

ella [mantener]";"ella mantuvo"
"Indicativo
Pretérito

Usted [mantener]";"Usted mantuvo"
"Indicativo
Pretérito

nosotros [mantener]";"nosotros mantuvimos"
"Indicativo
Pretérito

nosotras [mantener]";"nosotras mantuvimos"
"Indicativo
Pretérito

vosotros [mantener]";"vosotros mantuvisteis"
"Indicativo
Pretérito

vosotras [mantener]";"vosotras mantuvisteis"
"Indicativo
Pretérito

ellos [mantener]";"ellos mantuvieron"
"Indicativo
Pretérito

ellas [mantener]";"ellas mantuvieron"
"Indicativo
Pretérito

Ustedes [mantener]";"Ustedes mantuvieron"
"Indicativo
Pretérito

yo [medir]";"yo medí"
"Indicativo
Pretérito

tú [medir]";"tú mediste"
"Indicativo
Pretérito

él [medir]";"él midió"
"Indicativo
Pretérito

ella [medir]";"ella midió"
"Indicativo
Pretérito

Usted [medir]";"Usted midió"
"Indicativo
Pretérito

nosotros [medir]";"nosotros medimos"
"Indicativo
Pretérito

nosotras [medir]";"nosotras medimos"
"Indicativo
Pretérito

vosotros [medir]";"vosotros medisteis"
"Indicativo
Pretérito

vosotras [medir]";"vosotras medisteis"
"Indicativo
Pretérito

ellos [medir]";"ellos midieron"
"Indicativo
Pretérito

ellas [medir]";"ellas midieron"
"Indicativo
Pretérito

Ustedes [medir]";"Ustedes midieron"
"Indicativo
Pretérito

yo [mentir]";"yo mentí"
"Indicativo
Pretérito

tú [mentir]";"tú mentiste"
"Indicativo
Pretérito

él [mentir]";"él mintió"
"Indicativo
Pretérito

ella [mentir]";"ella mintió"
"Indicativo
Pretérito

Usted [mentir]";"Usted mintió"
"Indicativo
Pretérito

nosotros [mentir]";"nosotros mentimos"
"Indicativo
Pretérito

nosotras [mentir]";"nosotras mentimos"
"Indicativo
Pretérito

vosotros [mentir]";"vosotros mentisteis"
"Indicativo
Pretérito

vosotras [mentir]";"vosotras mentisteis"
"Indicativo
Pretérito

ellos [mentir]";"ellos mintieron"
"Indicativo
Pretérito

ellas [mentir]";"ellas mintieron"
"Indicativo
Pretérito

Ustedes [mentir]";"Ustedes mintieron"
"Indicativo
Pretérito

yo [merecer]";"yo merecí"
"Indicativo
Pretérito

tú [merecer]";"tú mereciste"
"Indicativo
Pretérito

él [merecer]";"él mereció"
"Indicativo
Pretérito

ella [merecer]";"ella mereció"
"Indicativo
Pretérito

Usted [merecer]";"Usted mereció"
"Indicativo
Pretérito

nosotros [merecer]";"nosotros merecimos"
"Indicativo
Pretérito

nosotras [merecer]";"nosotras merecimos"
"Indicativo
Pretérito

vosotros [merecer]";"vosotros merecisteis"
"Indicativo
Pretérito

vosotras [merecer]";"vosotras merecisteis"
"Indicativo
Pretérito

ellos [merecer]";"ellos merecieron"
"Indicativo
Pretérito

ellas [merecer]";"ellas merecieron"
"Indicativo
Pretérito

Ustedes [merecer]";"Ustedes merecieron"
"Indicativo
Pretérito

yo [meter]";"yo metí"
"Indicativo
Pretérito

tú [meter]";"tú metiste"
"Indicativo
Pretérito

él [meter]";"él metió"
"Indicativo
Pretérito

ella [meter]";"ella metió"
"Indicativo
Pretérito

Usted [meter]";"Usted metió"
"Indicativo
Pretérito

nosotros [meter]";"nosotros metimos"
"Indicativo
Pretérito

nosotras [meter]";"nosotras metimos"
"Indicativo
Pretérito

vosotros [meter]";"vosotros metisteis"
"Indicativo
Pretérito

vosotras [meter]";"vosotras metisteis"
"Indicativo
Pretérito

ellos [meter]";"ellos metieron"
"Indicativo
Pretérito

ellas [meter]";"ellas metieron"
"Indicativo
Pretérito

Ustedes [meter]";"Ustedes metieron"
"Indicativo
Pretérito

yo [morir]";"yo morí"
"Indicativo
Pretérito

tú [morir]";"tú moriste"
"Indicativo
Pretérito

él [morir]";"él murió"
"Indicativo
Pretérito

ella [morir]";"ella murió"
"Indicativo
Pretérito

Usted [morir]";"Usted murió"
"Indicativo
Pretérito

nosotros [morir]";"nosotros morimos"
"Indicativo
Pretérito

nosotras [morir]";"nosotras morimos"
"Indicativo
Pretérito

vosotros [morir]";"vosotros moristeis"
"Indicativo
Pretérito

vosotras [morir]";"vosotras moristeis"
"Indicativo
Pretérito

ellos [morir]";"ellos murieron"
"Indicativo
Pretérito

ellas [morir]";"ellas murieron"
"Indicativo
Pretérito

Ustedes [morir]";"Ustedes murieron"
"Indicativo
Pretérito

yo [mover]";"yo moví"
"Indicativo
Pretérito

tú [mover]";"tú moviste"
"Indicativo
Pretérito

él [mover]";"él movió"
"Indicativo
Pretérito

ella [mover]";"ella movió"
"Indicativo
Pretérito

Usted [mover]";"Usted movió"
"Indicativo
Pretérito

nosotros [mover]";"nosotros movimos"
"Indicativo
Pretérito

nosotras [mover]";"nosotras movimos"
"Indicativo
Pretérito

vosotros [mover]";"vosotros movisteis"
"Indicativo
Pretérito

vosotras [mover]";"vosotras movisteis"
"Indicativo
Pretérito

ellos [mover]";"ellos movieron"
"Indicativo
Pretérito

ellas [mover]";"ellas movieron"
"Indicativo
Pretérito

Ustedes [mover]";"Ustedes movieron"
"Indicativo
Pretérito

yo [nacer]";"yo nací"
"Indicativo
Pretérito

tú [nacer]";"tú naciste"
"Indicativo
Pretérito

él [nacer]";"él nació"
"Indicativo
Pretérito

ella [nacer]";"ella nació"
"Indicativo
Pretérito

Usted [nacer]";"Usted nació"
"Indicativo
Pretérito

nosotros [nacer]";"nosotros nacimos"
"Indicativo
Pretérito

nosotras [nacer]";"nosotras nacimos"
"Indicativo
Pretérito

vosotros [nacer]";"vosotros nacisteis"
"Indicativo
Pretérito

vosotras [nacer]";"vosotras nacisteis"
"Indicativo
Pretérito

ellos [nacer]";"ellos nacieron"
"Indicativo
Pretérito

ellas [nacer]";"ellas nacieron"
"Indicativo
Pretérito

Ustedes [nacer]";"Ustedes nacieron"
"Indicativo
Pretérito

yo [obedecer]";"yo obedecí"
"Indicativo
Pretérito

tú [obedecer]";"tú obedeciste"
"Indicativo
Pretérito

él [obedecer]";"él obedeció"
"Indicativo
Pretérito

ella [obedecer]";"ella obedeció"
"Indicativo
Pretérito

Usted [obedecer]";"Usted obedeció"
"Indicativo
Pretérito

nosotros [obedecer]";"nosotros obedecimos"
"Indicativo
Pretérito

nosotras [obedecer]";"nosotras obedecimos"
"Indicativo
Pretérito

vosotros [obedecer]";"vosotros obedecisteis"
"Indicativo
Pretérito

vosotras [obedecer]";"vosotras obedecisteis"
"Indicativo
Pretérito

ellos [obedecer]";"ellos obedecieron"
"Indicativo
Pretérito

ellas [obedecer]";"ellas obedecieron"
"Indicativo
Pretérito

Ustedes [obedecer]";"Ustedes obedecieron"
"Indicativo
Pretérito

yo [obtener]";"yo obtuve"
"Indicativo
Pretérito

tú [obtener]";"tú obtuviste"
"Indicativo
Pretérito

él [obtener]";"él obtuvo"
"Indicativo
Pretérito

ella [obtener]";"ella obtuvo"
"Indicativo
Pretérito

Usted [obtener]";"Usted obtuvo"
"Indicativo
Pretérito

nosotros [obtener]";"nosotros obtuvimos"
"Indicativo
Pretérito

nosotras [obtener]";"nosotras obtuvimos"
"Indicativo
Pretérito

vosotros [obtener]";"vosotros obtuvisteis"
"Indicativo
Pretérito

vosotras [obtener]";"vosotras obtuvisteis"
"Indicativo
Pretérito

ellos [obtener]";"ellos obtuvieron"
"Indicativo
Pretérito

ellas [obtener]";"ellas obtuvieron"
"Indicativo
Pretérito

Ustedes [obtener]";"Ustedes obtuvieron"
"Indicativo
Pretérito

yo [ocurrir]";"yo "
"Indicativo
Pretérito

tú [ocurrir]";"tú "
"Indicativo
Pretérito

él [ocurrir]";"él ocurrió"
"Indicativo
Pretérito

ella [ocurrir]";"ella ocurrió"
"Indicativo
Pretérito

Usted [ocurrir]";"Usted ocurrió"
"Indicativo
Pretérito

nosotros [ocurrir]";"nosotros "
"Indicativo
Pretérito

nosotras [ocurrir]";"nosotras "
"Indicativo
Pretérito

vosotros [ocurrir]";"vosotros "
"Indicativo
Pretérito

vosotras [ocurrir]";"vosotras "
"Indicativo
Pretérito

ellos [ocurrir]";"ellos ocurrieron"
"Indicativo
Pretérito

ellas [ocurrir]";"ellas ocurrieron"
"Indicativo
Pretérito

Ustedes [ocurrir]";"Ustedes ocurrieron"
"Indicativo
Pretérito

yo [ofender]";"yo ofendí"
"Indicativo
Pretérito

tú [ofender]";"tú ofendiste"
"Indicativo
Pretérito

él [ofender]";"él ofendió"
"Indicativo
Pretérito

ella [ofender]";"ella ofendió"
"Indicativo
Pretérito

Usted [ofender]";"Usted ofendió"
"Indicativo
Pretérito

nosotros [ofender]";"nosotros ofendimos"
"Indicativo
Pretérito

nosotras [ofender]";"nosotras ofendimos"
"Indicativo
Pretérito

vosotros [ofender]";"vosotros ofendisteis"
"Indicativo
Pretérito

vosotras [ofender]";"vosotras ofendisteis"
"Indicativo
Pretérito

ellos [ofender]";"ellos ofendieron"
"Indicativo
Pretérito

ellas [ofender]";"ellas ofendieron"
"Indicativo
Pretérito

Ustedes [ofender]";"Ustedes ofendieron"
"Indicativo
Pretérito

yo [ofrecer]";"yo ofrecí"
"Indicativo
Pretérito

tú [ofrecer]";"tú ofreciste"
"Indicativo
Pretérito

él [ofrecer]";"él ofreció"
"Indicativo
Pretérito

ella [ofrecer]";"ella ofreció"
"Indicativo
Pretérito

Usted [ofrecer]";"Usted ofreció"
"Indicativo
Pretérito

nosotros [ofrecer]";"nosotros ofrecimos"
"Indicativo
Pretérito

nosotras [ofrecer]";"nosotras ofrecimos"
"Indicativo
Pretérito

vosotros [ofrecer]";"vosotros ofrecisteis"
"Indicativo
Pretérito

vosotras [ofrecer]";"vosotras ofrecisteis"
"Indicativo
Pretérito

ellos [ofrecer]";"ellos ofrecieron"
"Indicativo
Pretérito

ellas [ofrecer]";"ellas ofrecieron"
"Indicativo
Pretérito

Ustedes [ofrecer]";"Ustedes ofrecieron"
"Indicativo
Pretérito

yo [oler]";"yo olí"
"Indicativo
Pretérito

tú [oler]";"tú oliste"
"Indicativo
Pretérito

él [oler]";"él olió"
"Indicativo
Pretérito

ella [oler]";"ella olió"
"Indicativo
Pretérito

Usted [oler]";"Usted olió"
"Indicativo
Pretérito

nosotros [oler]";"nosotros olimos"
"Indicativo
Pretérito

nosotras [oler]";"nosotras olimos"
"Indicativo
Pretérito

vosotros [oler]";"vosotros olisteis"
"Indicativo
Pretérito

vosotras [oler]";"vosotras olisteis"
"Indicativo
Pretérito

ellos [oler]";"ellos olieron"
"Indicativo
Pretérito

ellas [oler]";"ellas olieron"
"Indicativo
Pretérito

Ustedes [oler]";"Ustedes olieron"
"Indicativo
Pretérito

yo [oponer]";"yo opuse"
"Indicativo
Pretérito

tú [oponer]";"tú opusiste"
"Indicativo
Pretérito

él [oponer]";"él opuso"
"Indicativo
Pretérito

ella [oponer]";"ella opuso"
"Indicativo
Pretérito

Usted [oponer]";"Usted opuso"
"Indicativo
Pretérito

nosotros [oponer]";"nosotros opusimos"
"Indicativo
Pretérito

nosotras [oponer]";"nosotras opusimos"
"Indicativo
Pretérito

vosotros [oponer]";"vosotros opusisteis"
"Indicativo
Pretérito

vosotras [oponer]";"vosotras opusisteis"
"Indicativo
Pretérito

ellos [oponer]";"ellos opusieron"
"Indicativo
Pretérito

ellas [oponer]";"ellas opusieron"
"Indicativo
Pretérito

Ustedes [oponer]";"Ustedes opusieron"
"Indicativo
Pretérito

yo [padecer]";"yo padecí"
"Indicativo
Pretérito

tú [padecer]";"tú padeciste"
"Indicativo
Pretérito

él [padecer]";"él padeció"
"Indicativo
Pretérito

ella [padecer]";"ella padeció"
"Indicativo
Pretérito

Usted [padecer]";"Usted padeció"
"Indicativo
Pretérito

nosotros [padecer]";"nosotros padecimos"
"Indicativo
Pretérito

nosotras [padecer]";"nosotras padecimos"
"Indicativo
Pretérito

vosotros [padecer]";"vosotros padecisteis"
"Indicativo
Pretérito

vosotras [padecer]";"vosotras padecisteis"
"Indicativo
Pretérito

ellos [padecer]";"ellos padecieron"
"Indicativo
Pretérito

ellas [padecer]";"ellas padecieron"
"Indicativo
Pretérito

Ustedes [padecer]";"Ustedes padecieron"
"Indicativo
Pretérito

yo [parecer]";"yo parecí"
"Indicativo
Pretérito

tú [parecer]";"tú pareciste"
"Indicativo
Pretérito

él [parecer]";"él pareció"
"Indicativo
Pretérito

ella [parecer]";"ella pareció"
"Indicativo
Pretérito

Usted [parecer]";"Usted pareció"
"Indicativo
Pretérito

nosotros [parecer]";"nosotros parecimos"
"Indicativo
Pretérito

nosotras [parecer]";"nosotras parecimos"
"Indicativo
Pretérito

vosotros [parecer]";"vosotros parecisteis"
"Indicativo
Pretérito

vosotras [parecer]";"vosotras parecisteis"
"Indicativo
Pretérito

ellos [parecer]";"ellos parecieron"
"Indicativo
Pretérito

ellas [parecer]";"ellas parecieron"
"Indicativo
Pretérito

Ustedes [parecer]";"Ustedes parecieron"
"Indicativo
Pretérito

yo [pedir]";"yo pedí"
"Indicativo
Pretérito

tú [pedir]";"tú pediste"
"Indicativo
Pretérito

él [pedir]";"él pidió"
"Indicativo
Pretérito

ella [pedir]";"ella pidió"
"Indicativo
Pretérito

Usted [pedir]";"Usted pidió"
"Indicativo
Pretérito

nosotros [pedir]";"nosotros pedimos"
"Indicativo
Pretérito

nosotras [pedir]";"nosotras pedimos"
"Indicativo
Pretérito

vosotros [pedir]";"vosotros pedisteis"
"Indicativo
Pretérito

vosotras [pedir]";"vosotras pedisteis"
"Indicativo
Pretérito

ellos [pedir]";"ellos pidieron"
"Indicativo
Pretérito

ellas [pedir]";"ellas pidieron"
"Indicativo
Pretérito

Ustedes [pedir]";"Ustedes pidieron"
"Indicativo
Pretérito

yo [perder]";"yo perdí"
"Indicativo
Pretérito

tú [perder]";"tú perdiste"
"Indicativo
Pretérito

él [perder]";"él perdió"
"Indicativo
Pretérito

ella [perder]";"ella perdió"
"Indicativo
Pretérito

Usted [perder]";"Usted perdió"
"Indicativo
Pretérito

nosotros [perder]";"nosotros perdimos"
"Indicativo
Pretérito

nosotras [perder]";"nosotras perdimos"
"Indicativo
Pretérito

vosotros [perder]";"vosotros perdisteis"
"Indicativo
Pretérito

vosotras [perder]";"vosotras perdisteis"
"Indicativo
Pretérito

ellos [perder]";"ellos perdieron"
"Indicativo
Pretérito

ellas [perder]";"ellas perdieron"
"Indicativo
Pretérito

Ustedes [perder]";"Ustedes perdieron"
"Indicativo
Pretérito

yo [permanecer]";"yo permanecí"
"Indicativo
Pretérito

tú [permanecer]";"tú permaneciste"
"Indicativo
Pretérito

él [permanecer]";"él permaneció"
"Indicativo
Pretérito

ella [permanecer]";"ella permaneció"
"Indicativo
Pretérito

Usted [permanecer]";"Usted permaneció"
"Indicativo
Pretérito

nosotros [permanecer]";"nosotros permanecimos"
"Indicativo
Pretérito

nosotras [permanecer]";"nosotras permanecimos"
"Indicativo
Pretérito

vosotros [permanecer]";"vosotros permanecisteis"
"Indicativo
Pretérito

vosotras [permanecer]";"vosotras permanecisteis"
"Indicativo
Pretérito

ellos [permanecer]";"ellos permanecieron"
"Indicativo
Pretérito

ellas [permanecer]";"ellas permanecieron"
"Indicativo
Pretérito

Ustedes [permanecer]";"Ustedes permanecieron"
"Indicativo
Pretérito

yo [permitir]";"yo permití"
"Indicativo
Pretérito

tú [permitir]";"tú permitiste"
"Indicativo
Pretérito

él [permitir]";"él permitió"
"Indicativo
Pretérito

ella [permitir]";"ella permitió"
"Indicativo
Pretérito

Usted [permitir]";"Usted permitió"
"Indicativo
Pretérito

nosotros [permitir]";"nosotros permitimos"
"Indicativo
Pretérito

nosotras [permitir]";"nosotras permitimos"
"Indicativo
Pretérito

vosotros [permitir]";"vosotros permitisteis"
"Indicativo
Pretérito

vosotras [permitir]";"vosotras permitisteis"
"Indicativo
Pretérito

ellos [permitir]";"ellos permitieron"
"Indicativo
Pretérito

ellas [permitir]";"ellas permitieron"
"Indicativo
Pretérito

Ustedes [permitir]";"Ustedes permitieron"
"Indicativo
Pretérito

yo [perseguir]";"yo perseguí"
"Indicativo
Pretérito

tú [perseguir]";"tú perseguiste"
"Indicativo
Pretérito

él [perseguir]";"él persiguió"
"Indicativo
Pretérito

ella [perseguir]";"ella persiguió"
"Indicativo
Pretérito

Usted [perseguir]";"Usted persiguió"
"Indicativo
Pretérito

nosotros [perseguir]";"nosotros perseguimos"
"Indicativo
Pretérito

nosotras [perseguir]";"nosotras perseguimos"
"Indicativo
Pretérito

vosotros [perseguir]";"vosotros perseguisteis"
"Indicativo
Pretérito

vosotras [perseguir]";"vosotras perseguisteis"
"Indicativo
Pretérito

ellos [perseguir]";"ellos persiguieron"
"Indicativo
Pretérito

ellas [perseguir]";"ellas persiguieron"
"Indicativo
Pretérito

Ustedes [perseguir]";"Ustedes persiguieron"
"Indicativo
Pretérito

yo [pertenecer]";"yo pertenecí"
"Indicativo
Pretérito

tú [pertenecer]";"tú perteneciste"
"Indicativo
Pretérito

él [pertenecer]";"él perteneció"
"Indicativo
Pretérito

ella [pertenecer]";"ella perteneció"
"Indicativo
Pretérito

Usted [pertenecer]";"Usted perteneció"
"Indicativo
Pretérito

nosotros [pertenecer]";"nosotros pertenecimos"
"Indicativo
Pretérito

nosotras [pertenecer]";"nosotras pertenecimos"
"Indicativo
Pretérito

vosotros [pertenecer]";"vosotros pertenecisteis"
"Indicativo
Pretérito

vosotras [pertenecer]";"vosotras pertenecisteis"
"Indicativo
Pretérito

ellos [pertenecer]";"ellos pertenecieron"
"Indicativo
Pretérito

ellas [pertenecer]";"ellas pertenecieron"
"Indicativo
Pretérito

Ustedes [pertenecer]";"Ustedes pertenecieron"
"Indicativo
Pretérito

yo [poder]";"yo pude"
"Indicativo
Pretérito

tú [poder]";"tú pudiste"
"Indicativo
Pretérito

él [poder]";"él pudo"
"Indicativo
Pretérito

ella [poder]";"ella pudo"
"Indicativo
Pretérito

Usted [poder]";"Usted pudo"
"Indicativo
Pretérito

nosotros [poder]";"nosotros pudimos"
"Indicativo
Pretérito

nosotras [poder]";"nosotras pudimos"
"Indicativo
Pretérito

vosotros [poder]";"vosotros pudisteis"
"Indicativo
Pretérito

vosotras [poder]";"vosotras pudisteis"
"Indicativo
Pretérito

ellos [poder]";"ellos pudieron"
"Indicativo
Pretérito

ellas [poder]";"ellas pudieron"
"Indicativo
Pretérito

Ustedes [poder]";"Ustedes pudieron"
"Indicativo
Pretérito

yo [poner]";"yo puse"
"Indicativo
Pretérito

tú [poner]";"tú pusiste"
"Indicativo
Pretérito

él [poner]";"él puso"
"Indicativo
Pretérito

ella [poner]";"ella puso"
"Indicativo
Pretérito

Usted [poner]";"Usted puso"
"Indicativo
Pretérito

nosotros [poner]";"nosotros pusimos"
"Indicativo
Pretérito

nosotras [poner]";"nosotras pusimos"
"Indicativo
Pretérito

vosotros [poner]";"vosotros pusisteis"
"Indicativo
Pretérito

vosotras [poner]";"vosotras pusisteis"
"Indicativo
Pretérito

ellos [poner]";"ellos pusieron"
"Indicativo
Pretérito

ellas [poner]";"ellas pusieron"
"Indicativo
Pretérito

Ustedes [poner]";"Ustedes pusieron"
"Indicativo
Pretérito

yo [predecir]";"yo predije"
"Indicativo
Pretérito

tú [predecir]";"tú predijiste"
"Indicativo
Pretérito

él [predecir]";"él predijo"
"Indicativo
Pretérito

ella [predecir]";"ella predijo"
"Indicativo
Pretérito

Usted [predecir]";"Usted predijo"
"Indicativo
Pretérito

nosotros [predecir]";"nosotros predijimos"
"Indicativo
Pretérito

nosotras [predecir]";"nosotras predijimos"
"Indicativo
Pretérito

vosotros [predecir]";"vosotros predijisteis"
"Indicativo
Pretérito

vosotras [predecir]";"vosotras predijisteis"
"Indicativo
Pretérito

ellos [predecir]";"ellos predijeron"
"Indicativo
Pretérito

ellas [predecir]";"ellas predijeron"
"Indicativo
Pretérito

Ustedes [predecir]";"Ustedes predijeron"
"Indicativo
Pretérito

yo [preferir]";"yo preferí"
"Indicativo
Pretérito

tú [preferir]";"tú preferiste"
"Indicativo
Pretérito

él [preferir]";"él prefirió"
"Indicativo
Pretérito

ella [preferir]";"ella prefirió"
"Indicativo
Pretérito

Usted [preferir]";"Usted prefirió"
"Indicativo
Pretérito

nosotros [preferir]";"nosotros preferimos"
"Indicativo
Pretérito

nosotras [preferir]";"nosotras preferimos"
"Indicativo
Pretérito

vosotros [preferir]";"vosotros preferisteis"
"Indicativo
Pretérito

vosotras [preferir]";"vosotras preferisteis"
"Indicativo
Pretérito

ellos [preferir]";"ellos prefirieron"
"Indicativo
Pretérito

ellas [preferir]";"ellas prefirieron"
"Indicativo
Pretérito

Ustedes [preferir]";"Ustedes prefirieron"
"Indicativo
Pretérito

yo [presentir]";"yo presentí"
"Indicativo
Pretérito

tú [presentir]";"tú presentiste"
"Indicativo
Pretérito

él [presentir]";"él presintió"
"Indicativo
Pretérito

ella [presentir]";"ella presintió"
"Indicativo
Pretérito

Usted [presentir]";"Usted presintió"
"Indicativo
Pretérito

nosotros [presentir]";"nosotros presentimos"
"Indicativo
Pretérito

nosotras [presentir]";"nosotras presentimos"
"Indicativo
Pretérito

vosotros [presentir]";"vosotros presentisteis"
"Indicativo
Pretérito

vosotras [presentir]";"vosotras presentisteis"
"Indicativo
Pretérito

ellos [presentir]";"ellos presintieron"
"Indicativo
Pretérito

ellas [presentir]";"ellas presintieron"
"Indicativo
Pretérito

Ustedes [presentir]";"Ustedes presintieron"
"Indicativo
Pretérito

yo [prever]";"yo preví"
"Indicativo
Pretérito

tú [prever]";"tú previste"
"Indicativo
Pretérito

él [prever]";"él previó"
"Indicativo
Pretérito

ella [prever]";"ella previó"
"Indicativo
Pretérito

Usted [prever]";"Usted previó"
"Indicativo
Pretérito

nosotros [prever]";"nosotros previmos"
"Indicativo
Pretérito

nosotras [prever]";"nosotras previmos"
"Indicativo
Pretérito

vosotros [prever]";"vosotros previsteis"
"Indicativo
Pretérito

vosotras [prever]";"vosotras previsteis"
"Indicativo
Pretérito

ellos [prever]";"ellos previeron"
"Indicativo
Pretérito

ellas [prever]";"ellas previeron"
"Indicativo
Pretérito

Ustedes [prever]";"Ustedes previeron"
"Indicativo
Pretérito

yo [producir]";"yo produje"
"Indicativo
Pretérito

tú [producir]";"tú produjiste"
"Indicativo
Pretérito

él [producir]";"él produjo"
"Indicativo
Pretérito

ella [producir]";"ella produjo"
"Indicativo
Pretérito

Usted [producir]";"Usted produjo"
"Indicativo
Pretérito

nosotros [producir]";"nosotros produjimos"
"Indicativo
Pretérito

nosotras [producir]";"nosotras produjimos"
"Indicativo
Pretérito

vosotros [producir]";"vosotros produjisteis"
"Indicativo
Pretérito

vosotras [producir]";"vosotras produjisteis"
"Indicativo
Pretérito

ellos [producir]";"ellos produjeron"
"Indicativo
Pretérito

ellas [producir]";"ellas produjeron"
"Indicativo
Pretérito

Ustedes [producir]";"Ustedes produjeron"
"Indicativo
Pretérito

yo [prohibir]";"yo prohibí"
"Indicativo
Pretérito

tú [prohibir]";"tú prohibiste"
"Indicativo
Pretérito

él [prohibir]";"él prohibió"
"Indicativo
Pretérito

ella [prohibir]";"ella prohibió"
"Indicativo
Pretérito

Usted [prohibir]";"Usted prohibió"
"Indicativo
Pretérito

nosotros [prohibir]";"nosotros prohibimos"
"Indicativo
Pretérito

nosotras [prohibir]";"nosotras prohibimos"
"Indicativo
Pretérito

vosotros [prohibir]";"vosotros prohibisteis"
"Indicativo
Pretérito

vosotras [prohibir]";"vosotras prohibisteis"
"Indicativo
Pretérito

ellos [prohibir]";"ellos prohibieron"
"Indicativo
Pretérito

ellas [prohibir]";"ellas prohibieron"
"Indicativo
Pretérito

Ustedes [prohibir]";"Ustedes prohibieron"
"Indicativo
Pretérito

yo [prometer]";"yo prometí"
"Indicativo
Pretérito

tú [prometer]";"tú prometiste"
"Indicativo
Pretérito

él [prometer]";"él prometió"
"Indicativo
Pretérito

ella [prometer]";"ella prometió"
"Indicativo
Pretérito

Usted [prometer]";"Usted prometió"
"Indicativo
Pretérito

nosotros [prometer]";"nosotros prometimos"
"Indicativo
Pretérito

nosotras [prometer]";"nosotras prometimos"
"Indicativo
Pretérito

vosotros [prometer]";"vosotros prometisteis"
"Indicativo
Pretérito

vosotras [prometer]";"vosotras prometisteis"
"Indicativo
Pretérito

ellos [prometer]";"ellos prometieron"
"Indicativo
Pretérito

ellas [prometer]";"ellas prometieron"
"Indicativo
Pretérito

Ustedes [prometer]";"Ustedes prometieron"
"Indicativo
Pretérito

yo [proponer]";"yo propuse"
"Indicativo
Pretérito

tú [proponer]";"tú propusiste"
"Indicativo
Pretérito

él [proponer]";"él propuso"
"Indicativo
Pretérito

ella [proponer]";"ella propuso"
"Indicativo
Pretérito

Usted [proponer]";"Usted propuso"
"Indicativo
Pretérito

nosotros [proponer]";"nosotros propusimos"
"Indicativo
Pretérito

nosotras [proponer]";"nosotras propusimos"
"Indicativo
Pretérito

vosotros [proponer]";"vosotros propusisteis"
"Indicativo
Pretérito

vosotras [proponer]";"vosotras propusisteis"
"Indicativo
Pretérito

ellos [proponer]";"ellos propusieron"
"Indicativo
Pretérito

ellas [proponer]";"ellas propusieron"
"Indicativo
Pretérito

Ustedes [proponer]";"Ustedes propusieron"
"Indicativo
Pretérito

yo [proseguir]";"yo proseguí"
"Indicativo
Pretérito

tú [proseguir]";"tú proseguiste"
"Indicativo
Pretérito

él [proseguir]";"él prosiguió"
"Indicativo
Pretérito

ella [proseguir]";"ella prosiguió"
"Indicativo
Pretérito

Usted [proseguir]";"Usted prosiguió"
"Indicativo
Pretérito

nosotros [proseguir]";"nosotros proseguimos"
"Indicativo
Pretérito

nosotras [proseguir]";"nosotras proseguimos"
"Indicativo
Pretérito

vosotros [proseguir]";"vosotros proseguisteis"
"Indicativo
Pretérito

vosotras [proseguir]";"vosotras proseguisteis"
"Indicativo
Pretérito

ellos [proseguir]";"ellos prosiguieron"
"Indicativo
Pretérito

ellas [proseguir]";"ellas prosiguieron"
"Indicativo
Pretérito

Ustedes [proseguir]";"Ustedes prosiguieron"
"Indicativo
Pretérito

yo [proteger]";"yo protegí"
"Indicativo
Pretérito

tú [proteger]";"tú protegiste"
"Indicativo
Pretérito

él [proteger]";"él protegió"
"Indicativo
Pretérito

ella [proteger]";"ella protegió"
"Indicativo
Pretérito

Usted [proteger]";"Usted protegió"
"Indicativo
Pretérito

nosotros [proteger]";"nosotros protegimos"
"Indicativo
Pretérito

nosotras [proteger]";"nosotras protegimos"
"Indicativo
Pretérito

vosotros [proteger]";"vosotros protegisteis"
"Indicativo
Pretérito

vosotras [proteger]";"vosotras protegisteis"
"Indicativo
Pretérito

ellos [proteger]";"ellos protegieron"
"Indicativo
Pretérito

ellas [proteger]";"ellas protegieron"
"Indicativo
Pretérito

Ustedes [proteger]";"Ustedes protegieron"
"Indicativo
Pretérito

yo [querer]";"yo quise"
"Indicativo
Pretérito

tú [querer]";"tú quisiste"
"Indicativo
Pretérito

él [querer]";"él quiso"
"Indicativo
Pretérito

ella [querer]";"ella quiso"
"Indicativo
Pretérito

Usted [querer]";"Usted quiso"
"Indicativo
Pretérito

nosotros [querer]";"nosotros quisimos"
"Indicativo
Pretérito

nosotras [querer]";"nosotras quisimos"
"Indicativo
Pretérito

vosotros [querer]";"vosotros quisisteis"
"Indicativo
Pretérito

vosotras [querer]";"vosotras quisisteis"
"Indicativo
Pretérito

ellos [querer]";"ellos quisieron"
"Indicativo
Pretérito

ellas [querer]";"ellas quisieron"
